statement,label,question,question_with_answer
John Boyd Dunlop lived in France.,0,In which country did John Boyd Dunlop live?,In which country did John Boyd Dunlop live? France.
Heinrich Hertz lived in Germany.,1,In which country did Heinrich Hertz live?,In which country did Heinrich Hertz live? Germany.
Leonardo da Vinci lived in Italy.,1,In which country did Leonardo da Vinci live?,In which country did Leonardo da Vinci live? Italy.
Nikolai Basov lived in the Soviet Union.,1,In which country did Nikolai Basov live?,In which country did Nikolai Basov live? the Soviet Union.
Wilhelm Conrad Röntgen lived in the U.S.,0,In which country did Wilhelm Conrad Röntgen live?,In which country did Wilhelm Conrad Röntgen live? the U.S.
Guglielmo Marconi lived in Italy.,1,In which country did Guglielmo Marconi live?,In which country did Guglielmo Marconi live? Italy.
Christian Huygens lived in the Netherlands.,1,In which country did Christian Huygens live?,In which country did Christian Huygens live? the Netherlands.
Robert Adler lived in the U.K.,0,In which country did Robert Adler live?,In which country did Robert Adler live? the U.K.
John Walker lived in the U.S.,0,In which country did John Walker live?,In which country did John Walker live? the U.S.
Grace Hopper lived in the U.K.,0,In which country did Grace Hopper live?,In which country did Grace Hopper live? the U.K.
James West lived in the U.S.,1,In which country did James West live?,In which country did James West live? the U.S.
Charles Townes lived in Russia.,0,In which country did Charles Townes live?,In which country did Charles Townes live? Russia.
Sir Frank Whittle lived in the U.K.,1,In which country did Sir Frank Whittle live?,In which country did Sir Frank Whittle live? the U.K.
John Ambrose Fleming lived in the U.K.,1,In which country did John Ambrose Fleming live?,In which country did John Ambrose Fleming live? the U.K.
Gottlieb Daimler lived in Germany.,1,In which country did Gottlieb Daimler live?,In which country did Gottlieb Daimler live? Germany.
Frederick McKinley Jones lived in Japan.,0,In which country did Frederick McKinley Jones live?,In which country did Frederick McKinley Jones live? Japan.
William Sturgeon lived in Germany.,0,In which country did William Sturgeon live?,In which country did William Sturgeon live? Germany.
Igor Tamm lived in the U.S.,0,In which country did Igor Tamm live?,In which country did Igor Tamm live? the U.S.
Frank Julian Sprague lived in the U.S.,1,In which country did Frank Julian Sprague live?,In which country did Frank Julian Sprague live? the U.S.
George Antheil lived in the U.S.,1,In which country did George Antheil live?,In which country did George Antheil live? the U.S.
William Kelly lived in France.,0,In which country did William Kelly live?,In which country did William Kelly live? France.
Alva J. Fisher lived in the U.S.,1,In which country did Alva J. Fisher live?,In which country did Alva J. Fisher live? the U.S.
Louis Pasteur lived in the U.S.,0,In which country did Louis Pasteur live?,In which country did Louis Pasteur live? the U.S.
Thomas Edison lived in the U.S.,1,In which country did Thomas Edison live?,In which country did Thomas Edison live? the U.S.
Joseph Glidden lived in Germany.,0,In which country did Joseph Glidden live?,In which country did Joseph Glidden live? Germany.
Tim Berners-Lee lived in Germany.,0,In which country did Tim Berners-Lee live?,In which country did Tim Berners-Lee live? Germany.
Carl Wilhelm Siemens lived in Germany.,1,In which country did Carl Wilhelm Siemens live?,In which country did Carl Wilhelm Siemens live? Germany.
Ralph Benjamin lived in the U.K.,1,In which country did Ralph Benjamin live?,In which country did Ralph Benjamin live? the U.K.
George Devol lived in the U.S.,1,In which country did George Devol live?,In which country did George Devol live? the U.S.
Igor Tamm lived in Russia.,1,In which country did Igor Tamm live?,In which country did Igor Tamm live? Russia.
Philipp Reis lived in Germany.,1,In which country did Philipp Reis live?,In which country did Philipp Reis live? Germany.
Edmund Cartwright lived in the U.K.,1,In which country did Edmund Cartwright live?,In which country did Edmund Cartwright live? the U.K.
Heinrich Göbel lived in the U.S.,0,In which country did Heinrich Göbel live?,In which country did Heinrich Göbel live? the U.S.
Yoshua Bengio lived in the U.S.,0,In which country did Yoshua Bengio live?,In which country did Yoshua Bengio live? the U.S.
John Kay lived in the U.S.,0,In which country did John Kay live?,In which country did John Kay live? the U.S.
Marie Curie lived in Poland/France.,1,In which country did Marie Curie live?,In which country did Marie Curie live? Poland/France.
Mary Phelps Jacob lived in the U.S.,1,In which country did Mary Phelps Jacob live?,In which country did Mary Phelps Jacob live? the U.S.
Valdemar Poulsen lived in Scotland.,0,In which country did Valdemar Poulsen live?,In which country did Valdemar Poulsen live? Scotland.
John Harrison lived in the U.K.,1,In which country did John Harrison live?,In which country did John Harrison live? the U.K.
John Ericsson lived in the U.S.,0,In which country did John Ericsson live?,In which country did John Ericsson live? the U.S.
James Starley lived in Sweden/the U.S.,0,In which country did James Starley live?,In which country did James Starley live? Sweden/the U.S.
Charles Tellier lived in the U.K.,0,In which country did Charles Tellier live?,In which country did Charles Tellier live? the U.K.
Fritz Pfleumer lived in Canada/the U.S.,0,In which country did Fritz Pfleumer live?,In which country did Fritz Pfleumer live? Canada/the U.S.
Clyde Tombaugh lived in the U.S.,1,In which country did Clyde Tombaugh live?,In which country did Clyde Tombaugh live? the U.S.
Nicolas Appert lived in Russia.,0,In which country did Nicolas Appert live?,In which country did Nicolas Appert live? Russia.
Felix Hoffmann lived in the U.S.,0,In which country did Felix Hoffmann live?,In which country did Felix Hoffmann live? the U.S.
Joseph Henry lived in the U.S.,1,In which country did Joseph Henry live?,In which country did Joseph Henry live? the U.S.
Alexander Graham Bell lived in Germany.,0,In which country did Alexander Graham Bell live?,In which country did Alexander Graham Bell live? Germany.
Robert Noyce lived in the U.S.,1,In which country did Robert Noyce live?,In which country did Robert Noyce live? the U.S.
Charles Francis Richter lived in the U.S.,1,In which country did Charles Francis Richter live?,In which country did Charles Francis Richter live? the U.S.
Hans Oersted lived in Denmark.,1,In which country did Hans Oersted live?,In which country did Hans Oersted live? Denmark.
Nils Bohlin lived in Sweden.,1,In which country did Nils Bohlin live?,In which country did Nils Bohlin live? Sweden.
Alec Jeffreys lived in the U.K.,1,In which country did Alec Jeffreys live?,In which country did Alec Jeffreys live? the U.K.
John T. Parsons lived in the U.S.,1,In which country did John T. Parsons live?,In which country did John T. Parsons live? the U.S.
Otis Boykin lived in the U.S.,1,In which country did Otis Boykin live?,In which country did Otis Boykin live? the U.S.
Charles Strite lived in the U.S.,1,In which country did Charles Strite live?,In which country did Charles Strite live? the U.S.
Alessandro Volta lived in Italy.,1,In which country did Alessandro Volta live?,In which country did Alessandro Volta live? Italy.
Ruth Handler lived in the U.S.,1,In which country did Ruth Handler live?,In which country did Ruth Handler live? the U.S.
Georges Claude lived in France.,1,In which country did Georges Claude live?,In which country did Georges Claude live? France.
Hedy Lamarr lived in the U.S.,0,In which country did Hedy Lamarr live?,In which country did Hedy Lamarr live? the U.S.
Alfred Nobel lived in Sweden.,1,In which country did Alfred Nobel live?,In which country did Alfred Nobel live? Sweden.
John Ambrose Fleming lived in the U.S.,0,In which country did John Ambrose Fleming live?,In which country did John Ambrose Fleming live? the U.S.
Charles Strite lived in Italy.,0,In which country did Charles Strite live?,In which country did Charles Strite live? Italy.
John Ericsson lived in Sweden.,1,In which country did John Ericsson live?,In which country did John Ericsson live? Sweden.
Elisha Otis lived in the U.K.,0,In which country did Elisha Otis live?,In which country did Elisha Otis live? the U.K.
Gordon Gould lived in Canada.,0,In which country did Gordon Gould live?,In which country did Gordon Gould live? Canada.
Christopher Cockerell lived in the U.K.,1,In which country did Christopher Cockerell live?,In which country did Christopher Cockerell live? the U.K.
Sir Charles Parsons lived in the U.K.,1,In which country did Sir Charles Parsons live?,In which country did Sir Charles Parsons live? the U.K.
Henry Ford lived in the U.S.,1,In which country did Henry Ford live?,In which country did Henry Ford live? the U.S.
Rudolf Kálmán lived in the U.K.,0,In which country did Rudolf Kálmán live?,In which country did Rudolf Kálmán live? the U.K.
Joseph Swan lived in the U.K.,1,In which country did Joseph Swan live?,In which country did Joseph Swan live? the U.K.
Richard Gatling lived in the U.S.,1,In which country did Richard Gatling live?,In which country did Richard Gatling live? the U.S.
Ferdinand von Zeppelin lived in Germany.,1,In which country did Ferdinand von Zeppelin live?,In which country did Ferdinand von Zeppelin live? Germany.
Karl Benz lived in Germany.,1,In which country did Karl Benz live?,In which country did Karl Benz live? Germany.
James Starley lived in the U.K.,1,In which country did James Starley live?,In which country did James Starley live? the U.K.
August Horch lived in Germany.,1,In which country did August Horch live?,In which country did August Horch live? Germany.
Charles Macintosh lived in the U.S.,0,In which country did Charles Macintosh live?,In which country did Charles Macintosh live? the U.S.
Heinrich Göbel lived in Germany.,1,In which country did Heinrich Göbel live?,In which country did Heinrich Göbel live? Germany.
Marie Curie lived in Hungary.,0,In which country did Marie Curie live?,In which country did Marie Curie live? Hungary.
Igor Sikorsky lived in Ukraine/the U.S.,1,In which country did Igor Sikorsky live?,In which country did Igor Sikorsky live? Ukraine/the U.S.
Gustaf Dalén lived in Germany.,0,In which country did Gustaf Dalén live?,In which country did Gustaf Dalén live? Germany.
Eli Whitney lived in the U.S.,1,In which country did Eli Whitney live?,In which country did Eli Whitney live? the U.S.
Hippolyte Mège-Mouriès lived in France.,1,In which country did Hippolyte Mège-Mouriès live?,In which country did Hippolyte Mège-Mouriès live? France.
Ada Lovelace lived in the U.S.,0,In which country did Ada Lovelace live?,In which country did Ada Lovelace live? the U.S.
Spencer Silver lived in the U.S.,1,In which country did Spencer Silver live?,In which country did Spencer Silver live? the U.S.
Leon Theremin lived in Germany.,0,In which country did Leon Theremin live?,In which country did Leon Theremin live? Germany.
Emile Berliner lived in Germany/the U.S.,1,In which country did Emile Berliner live?,In which country did Emile Berliner live? Germany/the U.S.
Charles Wheatstone lived in the U.K.,1,In which country did Charles Wheatstone live?,In which country did Charles Wheatstone live? the U.K.
Biruté Galdikas lived in France.,0,In which country did Biruté Galdikas live?,In which country did Biruté Galdikas live? France.
Samuel Fox lived in France.,0,In which country did Samuel Fox live?,In which country did Samuel Fox live? France.
Grace Hopper lived in the U.S.,1,In which country did Grace Hopper live?,In which country did Grace Hopper live? the U.S.
Biruté Galdikas lived in Canada.,1,In which country did Biruté Galdikas live?,In which country did Biruté Galdikas live? Canada.
Daisuke Inoue lived in Japan.,1,In which country did Daisuke Inoue live?,In which country did Daisuke Inoue live? Japan.
Albert Ghiorso lived in the U.K.,0,In which country did Albert Ghiorso live?,In which country did Albert Ghiorso live? the U.K.
Karl Landsteiner lived in Austria.,1,In which country did Karl Landsteiner live?,In which country did Karl Landsteiner live? Austria.
Joseph Henry lived in the U.K.,0,In which country did Joseph Henry live?,In which country did Joseph Henry live? the U.K.
Galileo Galilei lived in the U.S.,0,In which country did Galileo Galilei live?,In which country did Galileo Galilei live? the U.S.
Linus Torvalds lived in Finland.,1,In which country did Linus Torvalds live?,In which country did Linus Torvalds live? Finland.
Ami Argand lived in the U.S.,0,In which country did Ami Argand live?,In which country did Ami Argand live? the U.S.
André-Jacques Garnerin lived in the Netherlands.,0,In which country did André-Jacques Garnerin live?,In which country did André-Jacques Garnerin live? the Netherlands.
Levi Strauss lived in the U.S.,1,In which country did Levi Strauss live?,In which country did Levi Strauss live? the U.S.
Alessandro Volta lived in the U.S.,0,In which country did Alessandro Volta live?,In which country did Alessandro Volta live? the U.S.
Edouard Benedictus lived in France.,1,In which country did Edouard Benedictus live?,In which country did Edouard Benedictus live? France.
Arthur Fry lived in France.,0,In which country did Arthur Fry live?,In which country did Arthur Fry live? France.
Charles Townes lived in the U.S.,1,In which country did Charles Townes live?,In which country did Charles Townes live? the U.S.
Ralph H. Baer lived in France.,0,In which country did Ralph H. Baer live?,In which country did Ralph H. Baer live? France.
Reginald Fessenden lived in Canada/the U.S.,1,In which country did Reginald Fessenden live?,In which country did Reginald Fessenden live? Canada/the U.S.
Antoine Lavoisier lived in Austria.,0,In which country did Antoine Lavoisier live?,In which country did Antoine Lavoisier live? Austria.
Joseph Engelberger lived in the U.S.,1,In which country did Joseph Engelberger live?,In which country did Joseph Engelberger live? the U.S.
Karl Landsteiner lived in the U.K.,0,In which country did Karl Landsteiner live?,In which country did Karl Landsteiner live? the U.K.
Reginald Fessenden lived in the U.K.,0,In which country did Reginald Fessenden live?,In which country did Reginald Fessenden live? the U.K.
John Shepherd-Barron lived in the U.S.,0,In which country did John Shepherd-Barron live?,In which country did John Shepherd-Barron live? the U.S.
Frank Bunker Gilbreth lived in Russia.,0,In which country did Frank Bunker Gilbreth live?,In which country did Frank Bunker Gilbreth live? Russia.
Daisuke Inoue lived in the U.S.,0,In which country did Daisuke Inoue live?,In which country did Daisuke Inoue live? the U.S.
John Kay lived in the U.K.,1,In which country did John Kay live?,In which country did John Kay live? the U.K.
Tim Berners-Lee lived in the U.K.,1,In which country did Tim Berners-Lee live?,In which country did Tim Berners-Lee live? the U.K.
Charles Francis Jenkins lived in the U.S.,1,In which country did Charles Francis Jenkins live?,In which country did Charles Francis Jenkins live? the U.S.
Jean-Bernard-Léon Foucault lived in the U.S.,0,In which country did Jean-Bernard-Léon Foucault live?,In which country did Jean-Bernard-Léon Foucault live? the U.S.
Wilhelm Conrad Röntgen lived in Germany.,1,In which country did Wilhelm Conrad Röntgen live?,In which country did Wilhelm Conrad Röntgen live? Germany.
Christian Huygens lived in Scotland.,0,In which country did Christian Huygens live?,In which country did Christian Huygens live? Scotland.
Ada Lovelace lived in the U.K.,1,In which country did Ada Lovelace live?,In which country did Ada Lovelace live? the U.K.
Philo Taylor Farnsworth lived in the U.S.,1,In which country did Philo Taylor Farnsworth live?,In which country did Philo Taylor Farnsworth live? the U.S.
Sergey Brin and Larry Page lived in the U.S.,1,In which country did Sergey Brin and Larry Page live?,In which country did Sergey Brin and Larry Page live? the U.S.
Hans Geiger lived in Germany.,1,In which country did Hans Geiger live?,In which country did Hans Geiger live? Germany.
Evangelista Torricelli lived in Italy.,1,In which country did Evangelista Torricelli live?,In which country did Evangelista Torricelli live? Italy.
Herbert Akroyd Stuart lived in Russia.,0,In which country did Herbert Akroyd Stuart live?,In which country did Herbert Akroyd Stuart live? Russia.
Daniel Fahrenheit lived in the U.S.,0,In which country did Daniel Fahrenheit live?,In which country did Daniel Fahrenheit live? the U.S.
Shinya Yamanaka lived in Japan.,1,In which country did Shinya Yamanaka live?,In which country did Shinya Yamanaka live? Japan.
Giovanni Caselli lived in Italy.,1,In which country did Giovanni Caselli live?,In which country did Giovanni Caselli live? Italy.
Charles Francis Jenkins lived in Germany.,0,In which country did Charles Francis Jenkins live?,In which country did Charles Francis Jenkins live? Germany.
Hedy Lamarr lived in Austria/the U.S.,1,In which country did Hedy Lamarr live?,In which country did Hedy Lamarr live? Austria/the U.S.
Frederick McKinley Jones lived in the U.S.,1,In which country did Frederick McKinley Jones live?,In which country did Frederick McKinley Jones live? the U.S.
James Hargreaves lived in the U.K.,1,In which country did James Hargreaves live?,In which country did James Hargreaves live? the U.K.
David Schwarz lived in Croatia.,1,In which country did David Schwarz live?,In which country did David Schwarz live? Croatia.
Konrad Zuse lived in Germany.,1,In which country did Konrad Zuse live?,In which country did Konrad Zuse live? Germany.
Jacob Perkins lived in the U.S.,1,In which country did Jacob Perkins live?,In which country did Jacob Perkins live? the U.S.
Arthur Pitney lived in the U.K.,0,In which country did Arthur Pitney live?,In which country did Arthur Pitney live? the U.K.
John Boyd Dunlop lived in Scotland.,1,In which country did John Boyd Dunlop live?,In which country did John Boyd Dunlop live? Scotland.
Charles Babbage lived in Hungary/the U.S.,0,In which country did Charles Babbage live?,In which country did Charles Babbage live? Hungary/the U.S.
Hans von Ohain lived in Germany.,1,In which country did Hans von Ohain live?,In which country did Hans von Ohain live? Germany.
John von Neumann lived in the U.S.,0,In which country did John von Neumann live?,In which country did John von Neumann live? the U.S.
Christopher Cockerell lived in France.,0,In which country did Christopher Cockerell live?,In which country did Christopher Cockerell live? France.
R. Buckminster Fuller lived in the U.S.,1,In which country did R. Buckminster Fuller live?,In which country did R. Buckminster Fuller live? the U.S.
Thomas Tompion lived in the U.K.,1,In which country did Thomas Tompion live?,In which country did Thomas Tompion live? the U.K.
Vint Cerf lived in Italy.,0,In which country did Vint Cerf live?,In which country did Vint Cerf live? Italy.
Nicolas Appert lived in France.,1,In which country did Nicolas Appert live?,In which country did Nicolas Appert live? France.
Wallace Carothers lived in Denmark.,0,In which country did Wallace Carothers live?,In which country did Wallace Carothers live? Denmark.
Carl Sontheimer lived in the U.S.,1,In which country did Carl Sontheimer live?,In which country did Carl Sontheimer live? the U.S.
Karl Benz lived in the U.S.,0,In which country did Karl Benz live?,In which country did Karl Benz live? the U.S.
Konrad Zuse lived in Poland/France.,0,In which country did Konrad Zuse live?,In which country did Konrad Zuse live? Poland/France.
James Clerk Maxwell lived in the U.K.,1,In which country did James Clerk Maxwell live?,In which country did James Clerk Maxwell live? the U.K.
Nikola Tesla lived in Germany.,0,In which country did Nikola Tesla live?,In which country did Nikola Tesla live? Germany.
James Murray Spangler lived in the U.S.,1,In which country did James Murray Spangler live?,In which country did James Murray Spangler live? the U.S.
John Wesley Hyatt lived in the U.K.,0,In which country did John Wesley Hyatt live?,In which country did John Wesley Hyatt live? the U.K.
Hans Goldschmidt lived in Germany.,1,In which country did Hans Goldschmidt live?,In which country did Hans Goldschmidt live? Germany.
Carl Elsener lived in Switzerland.,1,In which country did Carl Elsener live?,In which country did Carl Elsener live? Switzerland.
Vint Cerf lived in the U.S.,1,In which country did Vint Cerf live?,In which country did Vint Cerf live? the U.S.
Charles Tellier lived in France.,1,In which country did Charles Tellier live?,In which country did Charles Tellier live? France.
Elisha Gray lived in Austria/the U.S.,0,In which country did Elisha Gray live?,In which country did Elisha Gray live? Austria/the U.S.
George de Mestral lived in Canada.,0,In which country did George de Mestral live?,In which country did George de Mestral live? Canada.
Sir Charles Parsons lived in the U.S.,0,In which country did Sir Charles Parsons live?,In which country did Sir Charles Parsons live? the U.S.
Henry Bessemer lived in the U.S.,0,In which country did Henry Bessemer live?,In which country did Henry Bessemer live? the U.S.
James Dyson lived in Canada.,0,In which country did James Dyson live?,In which country did James Dyson live? Canada.
Jack Kilby lived in the U.K.,0,In which country did Jack Kilby live?,In which country did Jack Kilby live? the U.K.
Joseph Marie Jacquard lived in France.,1,In which country did Joseph Marie Jacquard live?,In which country did Joseph Marie Jacquard live? France.
Carl Wilhelm Siemens lived in the U.S.,0,In which country did Carl Wilhelm Siemens live?,In which country did Carl Wilhelm Siemens live? the U.S.
Sir Humphry Davy lived in the U.S.,0,In which country did Sir Humphry Davy live?,In which country did Sir Humphry Davy live? the U.S.
Philipp Reis lived in Finland.,0,In which country did Philipp Reis live?,In which country did Philipp Reis live? Finland.
Samuel Colt lived in the U.S.,1,In which country did Samuel Colt live?,In which country did Samuel Colt live? the U.S.
Bartolomeo Cristofori lived in the U.S.,0,In which country did Bartolomeo Cristofori live?,In which country did Bartolomeo Cristofori live? the U.S.
Mary Walton lived in the U.S.,1,In which country did Mary Walton live?,In which country did Mary Walton live? the U.S.
Felix Hoffmann lived in Germany.,1,In which country did Felix Hoffmann live?,In which country did Felix Hoffmann live? Germany.
Lester Wire lived in the U.K.,0,In which country did Lester Wire live?,In which country did Lester Wire live? the U.K.
Frederick G. Creed lived in Canada.,1,In which country did Frederick G. Creed live?,In which country did Frederick G. Creed live? Canada.
Hans von Ohain lived in Canada.,0,In which country did Hans von Ohain live?,In which country did Hans von Ohain live? Canada.
Elihu Thomson lived in the U.S.,1,In which country did Elihu Thomson live?,In which country did Elihu Thomson live? the U.S.
Yvonne Brill lived in the U.S.,0,In which country did Yvonne Brill live?,In which country did Yvonne Brill live? the U.S.
Pierre Curie lived in France.,1,In which country did Pierre Curie live?,In which country did Pierre Curie live? France.
James Hargreaves lived in Sweden.,0,In which country did James Hargreaves live?,In which country did James Hargreaves live? Sweden.
Nikolay Slavyanov lived in Russia.,1,In which country did Nikolay Slavyanov live?,In which country did Nikolay Slavyanov live? Russia.
Dr. Robert Gallo lived in the U.S.,1,In which country did Dr. Robert Gallo live?,In which country did Dr. Robert Gallo live? the U.S.
Charles Goodyear lived in the U.K.,0,In which country did Charles Goodyear live?,In which country did Charles Goodyear live? the U.K.
Samuel Morse lived in the U.S.,1,In which country did Samuel Morse live?,In which country did Samuel Morse live? the U.S.
Daniel Fahrenheit lived in Poland/Germany.,1,In which country did Daniel Fahrenheit live?,In which country did Daniel Fahrenheit live? Poland/Germany.
John Logie Baird lived in Scotland.,1,In which country did John Logie Baird live?,In which country did John Logie Baird live? Scotland.
Henri Giffard lived in France.,1,In which country did Henri Giffard live?,In which country did Henri Giffard live? France.
Eugene Polley lived in the U.S.,1,In which country did Eugene Polley live?,In which country did Eugene Polley live? the U.S.
Zhores Alferov lived in Russia.,1,In which country did Zhores Alferov live?,In which country did Zhores Alferov live? Russia.
Ferdinand Carré lived in France.,1,In which country did Ferdinand Carré live?,In which country did Ferdinand Carré live? France.
Richard Trevithick lived in the U.K.,1,In which country did Richard Trevithick live?,In which country did Richard Trevithick live? the U.K.
Edmund Cartwright lived in the U.S.,0,In which country did Edmund Cartwright live?,In which country did Edmund Cartwright live? the U.S.
John Walker lived in the U.K.,1,In which country did John Walker live?,In which country did John Walker live? the U.K.
Semyon Kirlian lived in the U.K.,0,In which country did Semyon Kirlian live?,In which country did Semyon Kirlian live? the U.K.
Blaise Pascal lived in France.,1,In which country did Blaise Pascal live?,In which country did Blaise Pascal live? France.
Mary Phelps Jacob lived in Ukraine/the U.S.,0,In which country did Mary Phelps Jacob live?,In which country did Mary Phelps Jacob live? Ukraine/the U.S.
Luther Simjian lived in the U.S.,0,In which country did Luther Simjian live?,In which country did Luther Simjian live? the U.S.
Benjamin Rubin lived in the U.S.,1,In which country did Benjamin Rubin live?,In which country did Benjamin Rubin live? the U.S.
Willem Einthoven lived in the Netherlands.,1,In which country did Willem Einthoven live?,In which country did Willem Einthoven live? the Netherlands.
Godfrey Hounsfield lived in the U.K.,1,In which country did Godfrey Hounsfield live?,In which country did Godfrey Hounsfield live? the U.K.
Yoshiro Nakamatsu lived in Japan.,1,In which country did Yoshiro Nakamatsu live?,In which country did Yoshiro Nakamatsu live? Japan.
Sir Isaac Newton lived in the U.S.,0,In which country did Sir Isaac Newton live?,In which country did Sir Isaac Newton live? the U.S.
Ferdinand von Zeppelin lived in France.,0,In which country did Ferdinand von Zeppelin live?,In which country did Ferdinand von Zeppelin live? France.
Auguste and Louis Lumière lived in France.,1,In which country did Auguste and Louis Lumière live?,In which country did Auguste and Louis Lumière live? France.
Thomas Edison lived in the U.K.,0,In which country did Thomas Edison live?,In which country did Thomas Edison live? the U.K.
Cai Lun lived in China.,1,In which country did Cai Lun live?,In which country did Cai Lun live? China.
